Country Code,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CYM,Cayman Islands,CO2 emissions (kt),465.709,465.709,484.04400000000004,484.04400000000004,462.042,473.043,484.04400000000004,572.052,583.053,557.384,557.384,586.72,535.382,535.382,546.383,557.384
CYP,Cyprus,CO2 emissions (kt),6978.3009999999995,6882.959,7022.305,7748.371,7334.0,7502.682,7788.7080000000005,8195.745,8577.113000000001,8111.404,7708.034000000001,7425.675,6919.629,5947.874,6061.5509999999995,6138.558000000001
CZE,Czech Republic,CO2 emissions (kt),123801.587,123684.243,119694.54699999999,122037.76,116757.28,120094.25,122092.765,123288.207,116716.94300000001,107710.791,112745.582,107993.15,103350.728,102012.273,97160.832,99852.41
DEU,Germany,CO2 emissions (kt),829977.7790000001,853662.932,829724.7559999999,823003.145,815969.839,797759.517,816721.574,781247.016,779296.172,720547.165,757880.892,729810.007,738141.431,757961.566,720363.815,727045.089
DJI,Djibouti,CO2 emissions (kt),366.7,366.7,399.70300000000003,421.705,407.037,414.371,410.704,462.042,498.712,458.375,517.047,473.043,480.37699999999995,572.052,612.389,627.057
DMA,Dominica,CO2 emissions (kt),102.676,110.01,102.676,117.344,143.013,143.013,143.013,183.35,165.015,161.34799999999998,172.34900000000002,154.014,165.015,168.68200000000002,176.016,176.016
DNK,Denmark,CO2 emissions (kt),51330.666,52918.477,52049.398,55998.757000000005,50600.933,47062.278,55019.668,50318.574,47421.644,44488.044,45815.498,40656.029,36427.977999999996,37253.053,33146.013,30817.467999999997
DOM,Dominican Republic,CO2 emissions (kt),19790.799,19816.468,21330.939,21514.289,18309.331000000002,18639.361,19783.465,21173.257999999998,20711.216,20227.172,21022.911,21767.312,21965.33,21473.952,22145.013,24136.194
DZA,Algeria,CO2 emissions (kt),87861.32,84219.989,89907.506,91575.991,88510.379,107278.085,101069.854,109404.945,110208.01800000001,121399.70199999999,119177.5,121187.016,129987.81599999999,134465.223,145411.218,153133.92
ECU,Ecuador,CO2 emissions (kt),20718.55,23116.767999999996,24950.267999999996,26967.118,29046.307,30263.751,28859.29,31924.902000000002,33868.412000000004,36068.612,36460.981,36482.983,32526.29,41451.768,46152.862,43270.6
EGY,"Egypt, Arab Rep.",CO2 emissions (kt),141326.18,125451.737,127193.56199999999,147963.45,150911.718,167207.866,178586.56699999998,189092.522,198586.385,206734.45899999997,202715.427,217412.763,220108.008,214402.15600000002,227852.712,224581.74800000002
ERI,Eritrea,CO2 emissions (kt),608.722,630.724,605.055,715.065,770.07,766.403,550.05,564.7180000000001,407.037,502.379,502.379,579.386,645.3919999999999,652.726,711.398,693.063
ESP,Spain,CO2 emissions (kt),294434.43100000004,297830.07300000003,314518.59,321097.188,339428.521,353462.13,350037.152,358236.564,329285.599,288237.201,270910.626,270547.593,264779.402,237034.88,233976.60199999998,250496.437
