Country Code,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CUB,Cuba,Urban population,8380761.0,8435464.0,8487656.0,8528228.0,8554890.0,8573893.0,8584112.0,8586856.0,8586507.0,8588994.0,8598651.0,8617290.0,8643315.0,8668175.0,8690598.0,8708304.0
CUW,Curacao,Urban population,121481.0,117447.0,117440.0,119730.0,121652.0,124627.0,127696.0,130064.0,131527.0,132200.0,133691.0,135409.0,136353.0,137738.0,139450.0,141158.0
CYM,Cayman Islands,Urban population,42303.0,43935.0,45351.0,46632.0,47902.0,49261.0,50740.0,52280.0,53836.0,55322.0,56672.0,57878.0,58958.0,59932.0,60848.0,61724.0
CYP,Cyprus,Urban population,647550.0,660372.0,671116.0,681117.0,691220.0,701564.0,712252.0,723133.0,733722.0,743347.0,751581.0,758205.0,763443.0,767957.0,772388.0,777233.0
CZE,Czech Republic,Urban population,7587516.0,7547721.0,7526242.0,7517054.0,7512306.0,7515659.0,7528974.0,7565828.0,7621676.0,7657912.0,7673029.0,7681562.0,7693579.0,7705910.0,7723921.0,7748928.0
DEU,Germany,Urban population,61629857.0,61902439.0,62174878.0,62376854.0,62529997.0,62660267.0,62753557.0,62833410.0,62875807.0,62877220.0,62940432.0,61940177.0,62064608.0,62242278.0,62510392.0,63062064.0
DJI,Djibouti,Urban population,549181.0,561328.0,572337.0,582417.0,591943.0,601234.0,610280.0,619013.0,627771.0,636960.0,646944.0,657875.0,669663.0,682097.0,694818.0,707586.0
DMA,Dominica,Urban population,45457.0,45546.0,45875.0,46262.0,46663.0,47013.0,47312.0,47576.0,47810.0,48036.0,48264.0,48499.0,48742.0,48988.0,49248.0,49528.0
DNK,Denmark,Urban population,4544013.0,4563004.0,4582981.0,4601394.0,4624434.0,4652908.0,4681382.0,4712839.0,4751268.0,4785983.0,4815111.0,4844002.0,4872608.0,4901386.0,4932961.0,4974525.0
DOM,Dominican Republic,Urban population,5231295.0,5379715.0,5529104.0,5717747.0,5923402.0,6128822.0,6334159.0,6539070.0,6743607.0,6947157.0,7150443.0,7342931.0,7527829.0,7711911.0,7895294.0,8077905.0
DZA,Algeria,Urban population,18600197.0,19094843.0,19591211.0,20095408.0,20616005.0,21159469.0,21729732.0,22327433.0,22955890.0,23612219.0,24299173.0,25016303.0,25763106.0,26536378.0,27332602.0,28146511.0
ECU,Ecuador,Urban population,7646590.0,7851988.0,8033023.0,8197752.0,8363682.0,8532068.0,8703743.0,8878734.0,9055765.0,9233276.0,9410469.0,9580933.0,9746827.0,9915343.0,10091292.0,10278096.0
EGY,"Egypt, Arab Rep.",Urban population,29457843.0,30055505.0,30659220.0,31267885.0,31879899.0,32495526.0,33111793.0,33700835.0,34289703.0,34919606.0,35603056.0,36347578.0,37114895.0,37919402.0,38737018.0,39551544.0
ESP,Spain,Urban population,30937864.0,31186430.0,31708814.0,32390830.0,33059302.0,33727737.0,34408810.0,35159317.0,35833174.0,36260460.0,36535850.0,36773882.0,36904876.0,36891840.0,36890017.0,36971015.0
EST,Estonia,Urban population,969061.0,961159.0,953352.0,945646.0,938279.0,931205.0,924006.0,918084.0,913914.0,910446.0,906655.0,902194.0,899089.0,897846.0,897427.0,899949.0
ETH,Ethiopia,Urban population,9761536.0,10174157.0,10604081.0,11049316.0,11510093.0,11986371.0,12478999.0,13001478.0,13689470.0,14413055.0,15178365.0,15986316.0,16839218.0,17717910.0,18635946.0,19590313.0
EUU,European Union,Urban population,304075053.0,305278438.0,306961948.0,309016312.0,311124840.0,313183119.0,315148349.0,317172250.0,319152659.0,320826833.0,322196473.0,322486001.0,323794322.0,325389420.0,326995174.0,328554219.0
FIN,Finland,Urban population,4253964.0,4273258.0,4290649.0,4307931.0,4327463.0,4349276.0,4372951.0,4398523.0,4426008.0,4454167.0,4492880.0,4543014.0,4593267.0,4629925.0,4651843.0,4669930.0
FJI,Fiji,Urban population,388537.0,393126.0,396965.0,400571.0,404669.0,409742.0,416121.0,423589.0,432368.0,440972.0,448576.0,454891.0,460182.0,464883.0,469756.0,475365.0
FRA,France,Urban population,46214923.0,46709571.0,47206863.0,47699501.0,48209404.0,48730233.0,49228316.0,49690034.0,50127513.0,50547198.0,50961407.0,51373800.0,51791144.0,52228061.0,52647802.0,53009026.0
FRO,Faroe Islands,Urban population,16982.0,17471.0,17959.0,18363.0,18682.0,18984.0,19187.0,19293.0,19384.0,19473.0,19568.0,19650.0,19723.0,19810.0,19904.0,20007.0
FSM,"Micronesia, Fed. Sts.",Urban population,23983.0,23932.0,23900.0,23871.0,23809.0,23699.0,23523.0,23309.0,23101.0,22969.0,22947.0,23075.0,23330.0,23680.0,24067.0,24453.0
GAB,Gabon,Urban population,968918.0,1001786.0,1035393.0,1070257.0,1107106.0,1146535.0,1188556.0,1233164.0,1281025.0,1332883.0,1389176.0,1450336.0,1515820.0,1583686.0,1651170.0,1716262.0
GBR,United Kingdom,Urban population,46319551.0,46557334.0,46930583.0,47323791.0,47767769.0,48269624.0,48798541.0,49351705.0,49913475.0,50463084.0,51030310.0,51600211.0,52130345.0,52650595.0,53209683.0,53802927.0
GEO,Georgia,Urban population,2146120.0,2103451.0,2086373.0,2087702.0,2090052.0,2091919.0,2095077.0,2099115.0,2107603.0,2103652.0,2102941.0,2100564.0,2099468.0,2107360.0,2122558.0,2140097.0
